label, text
"1","I got food poisoning after eating at this location, I almost went to the hospital after about 12hrs of vomiting and diarrhea. I will NEVER eat Arby's again"
"3","For the price, you definitely get what you pay for at Barro's.  The pizza isn't amazing, but it's filling and decent enough for a lunch-on-the-go.\n\nTheir lunch buffet special is really affordable, though, so they usually fill up fast around noon on weekdays.  If you go, expect to wait in a line for a few minutes."
"2","what a messy place! If you want to look a good bargain you have to look carefully because everything is chaos! Even Big Lots has more order. Not worth my time."
"1","DO NOT GO HERE!  Watch out - they will ruin your clothes and then give you the biggest, most expert run around you can ever imagine if you try to get them to replace them.  The owner is a blatant lier and she will rip you off."
"3","My review is based on the service.  I have always received great service from this location and have nothing to complain about. However, Taco Bell's quality of food is another story. If you have the extra couple bucks, get a real taco or burrito from Chipotle or Los Taquitos nearby. However, if you like cheap and tasteless food then this place is perfect for you. I only gave them a better rating because they have fast and quick service. The food quality is out of their control but I wouldn't give a business five stars solely on service."
"3","We got the 14 minutes or it's free deal, and boy, do they make sure the food gets to you in under 14 minutes, even if it means the hamburger is bloody & the salad looks like it's been sitting in the back of the fridge for 2 weeks. They didn't charge us for our food, thank goodness, but I won't go back there to that location or ask for that deal again."
"1","Holy crap does this place not have ANY customer service in their DNA.\n\nAs the retail customer and the person that ultimately keeps them in business, you'd think they'd be a little warmer, more helpful and willing to work with you. They are not. In fact my wife and I found them snobby, condescending and not at all helpful.\n\nDuring the remodel process, we had to go to the slab yard a few times, each time felt like we were an inconvenience to them. \n\nThe final trip to Arizona Tile came a week before fabrication. Our fabricator Diamond Granite (see their AWESOME review on Yelp, went to confirm our slab was there. He asked them to pull it for us so that we could see it at 1:30PM as we had a very limited window of time to view the slab before picking up kids at school. When we arrived, they were once again too busy for us and had us take a seat. When we got to talk to someone they were unaware of our slab and asked who had our paperwork? How are we supposed to know? We were told they never pull a slab until a customer arrives and we'd have to wait for a large truckload that was now being offloaded. \n\nWe told them we had to be out at 2PM. It was now 1:45. At 2PM, we were told to be patient. At 2:15PM someone went out to see if the slab was there. It wasn't until 2:20PM a full 50 minutes after we arrived, that we had minutes to confirm our slab choice.\n\nI couldn't wait to get out of there. My wife and I hated the experience of working with Arizona Tile. The other company we looked at was Bedrosian's and the experience there was night and day different.\n\nOur recommendation: Go to Bedrosian's first for great customer service. If they don't have what you want, be prepared to get crappy customer service in exchange for the larger selection."
"3","The mainstay driving my 2-star rating is the fact that they had NO water in any of their vending machines or at the food counter. In Arizona, you must, must serve water. They had old brewed tea and Power aid drinks, but fundamentally, I can't believe they didn't have water.\n\nBatting Cages- Good\nGolf Driving Range- Good\nBumper Boats- Water was not clean and looked gross\nMini-golf- Okay\nGo Carts- Seats were really torn up and a lot of the cars didn't work\n\nThis place is operating on a thread. Minimal staff and they drained every fountain in the park to save on money. I can't totally blame them for that."
"1","This review is for the miniature golf only.\n\nIf you are in Tempe you don't have many options for miniature golf nearby. It's either Fiddlesticks or Golfland Sunsplash. If you are trying to figure out where to go, go to Golfland. They at least have interactive courses, some variation, and working \""streams\"" for about the same price. At Fiddlesticks the courses are very plain and repetitive. They might be good for practice but are not a lot of fun. Also Google maps may send you the wrong way finding Fiddlesticks. It's on Elliot in Tempe between Priest and Hardy not Chandler by Alma School."
"1","Worse place ever! Old bad equipment, no one working and they sell rides by time and no one working to assist....huge waste of money and when we complained they could not even locate a manager! WASTE OF TIME AND MONEY!!!!!!"
"5","I can't say enough nice things about Autoplex Autoservice. After figuring out that we may have bought a lemon from a used car dealer, we took our car here to get it checked out. Unfortunately our worst fears turned out to be true, but Lou and Mike have gone above and beyond with their service and advice, even though it turns out to be uneconomical to get repairs done. I will definitely be using them in the future when we get a new car. \nIf you want honest, friendly and excellent service, look no further."
"2","It's a chain, so I know the food is decent. I'm mostly turned off by the fact that I couldn't come here to watch a baseball game. No sports package at a popular burger place? I'll be going elsewhere for dinner."
"1","Disgusted by server who goes by the name of \""Mike\"" and how he served my children!!!!!!!!"
"3","Consistently mediocre food. One day you might get wings drowning in sauce, and the next day get scarcely any. Other than that, you pretty much know what to expect here. The food is just OK, the prices are just OK, service mostly just OK - unless you get Jared and then service is 5 star. My biggest gripes - it's always WAY too loud in the bar (loud music makes people have to shout across the table) and they charge 50c for blue cheese when they have a wing special. Really???"
"1","Service was excellent by Jessica & Emily in the bar! Very disappointed that they don't offer anything for our Veteran's, being that it is Memorial Day weekend.. Take care of our Veteran's and I'll give  but only one star for now!!!"
"1","This place is nasty. A have friends who recently contracted food poison from their bone in wings. Someone in that kitchen isn't cooking food right. I'll never go back. Drive to a different location."
"5","I have been practicing yoga for years and have had the opportunity to be in class with some wonderful teachers in a few different cities. I am now \""full-time RV-ing\"" & many times have to practice yoga with a cd or iPhone ap or just put together a practice of my own.  I prefer this type of home practice over a studio or teacher that does not inspire me. But when I am lucky enough to happen on a beautiful space & inspiring teacher I really appreciate it. \n\nSuch a place is Gilbert Yoga! I practiced this morning with Heather who I believe was subbing for someone else & boy was I lucky!!  And because we will be in town for 6 more weeks I purchased a 10 class pass & look forward to returning. \n\nI have returned twice since the my draft above & had the opportunity to practice with Cassandra, who was also a wonderful teacher - thoughtful, peaceful & full of happiness.\n\nNamaste"
"3","The Pizza and Wings are good by the Buffalo native's sense of flavor and quality. The service is just \""OK\"" and nothing to write home about. The other menu items are a mixed bag depending on what you order. I've been here 4 times so it is good enough to keep me coming back, but definitely not as good as it could be with better placeware, real napkins, better service and maybe a more customer engaging attitude."
"4","Loved the stadium recliner seats - this is a super KID-friendly area and the theatre was packed with the wee ones. Good if you're in the parent zone, but if you're not...."
"5","Bryant Pest Control is the Best.  They are affordable, and truly take care of their customers.  when they arrive at our home they are always professional and very courteous.  We appreciate the Excellent customer service they supply and well as their flexibility when it comes to scheduling.\nthank you for the continued excellent service."
"5","We have been using Bryant Pest Control for a couple of years.  They are always on time, neat and professional. The phone person who calls the day before they spray is always in an upbeat mode and a pleasure to talk to.  Like most people, we are not fond of bugs.  Accordingly we have Bryant Pest Control out once a month, year round.  Never an issue and rarely do we see any bugs.  If you are not having them spray every 30 days, you might wish to consider that program.  To us it is money well spent."
"3","I love Petco, it's been my go-to place for all my pet's needs (and I have a few), and I've always found what I needed here at reasonable prices...until recently.\n\nThey have really started marking their prices up considerably and I'm not sure why. Not a dollar or two, but over four and five dollars on things that you can get at Target at the lower price. Bad news. (This applies to treats - not to specialty foods)\n\nThe good news is that this place has a good selection, they are never out of anything I need and the people are really great. It's a pleasant place to shop. \n\nJust please adjust your prices to match with the big box stores, overpricing things you can get elsewhere for cheaper just seems like a bad idea (and I will gladly make an extra stop to save $5).  Even the rewards program here doesn't help with that!"
"5","I had a great pedicure and it was only $20! My tech took a really long time making my nails look great, so I felt like I got my money's worth.  Only complaint is that they could use some new chairs."
"1","First and only time I'll ever go to this location. The guy at the window was straight up tweaking! I'm talking legit meth head, paranoid schizo status, scratching left and right and extremely jittery. I'm surprised he even managed to get my drinks out the window into my hand without spilling them! Yikes... \n\n\nSay no to meth and Burger King for that matter, kids."
"2","Not a huge fan of this place, although the barber did give me a proper fade. I would have to say its over priced for mens cuts and way to long of a wait.... its not a super cuts and its not a high class salon either so in my eyes it is very useless"
"3","Got my hair cut,  styled &  colored.  Was ok but wasn't wowed or anything.  Stylist didn't seem like she wanted to color my hair how I wanted it so had to do it something else.  Came out ok but not totally I  love with it..... Then she had to dye my hair twice because first time it didn't come out right.  Service is great just didn't love my hair how it came out &  definitely over priced."
"1","Tired of going through the drive thru, ordering what I do and getting something totally different by the time I get home. Has happened more then three times in the last 6 months. I don't get as to how hard it is to get an order right.  I have spoken to the manager and called and they just don't seem to care. They fill like you are trying to get a free meal out of them. And you know what? They should give me a free meal for always screwing up my order.. Frustrated! YES I AM darn it."
"1","I've been frequenting this pharmacy for at least 3 years, and I find this review is long overdue.  I'd like the start by saying the pharmacists here are skilled and knowledgeable, even if they never remember who I am.  The techs they have working here are another story, Not only are they not skilled, and not knowledgeable, they very obviously lack general customer service skills.  \n\nI have two of my scripts set up on auto fill, every 90 days.  For those of you not familiar with the auto fill concept, it's supposed to take the hassle out of refilling your drugs, with the pharmacy taking care of contacting your Dr and filling it on time.  In the last 12 months, my auto fill has been messed up 3x, considering it only fills 4x a year, that's not really impressive.  Each time it's been a different excuse, and each time I end up making multiple phone calls and trips to the pharmacy to get it straightened out.  This last time, it took me 3 phone calls and 3 trips.  \n\nThe techs with whom I spoke to on the phone were rude and argumentative.  After I gave up on calling and went in person, with a reasonable solution, Ada (the tech attempting to assist me) spent a solid 15 minutes arguing with me, insisting what I was asking for could not be done.  Since this wasn't my first rodeo with Cvs, (I had them perform this request before), I knew I was being bs'd.  While a line of angry people formed behind me, she got flustered and took a phone call.  Apparently she decided she was no longer going to help me.  One of the pharmacists stepped up to help the next person in line, and she told him to help me instead.  I explained my plight to him, and he resolved it in less than 2 minutes.  \n\nThe moral of this story is if the techs don't know how to do, they will tell you it can't be done.  They have no interest in actually helping you, and are not concerned with the lack of customer service they provide.  On my last call, I informed the tech that I found her inability to provide a solution unacceptable, and her response was I can't change it....no admission of guilt, not even an apology, just pure attitude and contempt.  So go ahead, mess up my prescription, catch an attitude with me and refuse to fix it.  I'm sure that will work out for you in the long run."
"4","They got great service but they have slow wifi download rate......down is 1.10 mps and up is 0.60 mps .... That sucks... Lol"
"5","At nails of the world they actually care about u as a person. They do great work & my polish never peals. They are Always friendly. I've been going there for a couple years now & I would recommend nails of the world to anyone of my friends & family."
"3","It's a Target. You know the drill. Clean, well stocked, good prices. I'm a regular."
